Artist,Title,Year,Image
FRÉDERIC BAZILLE,The artist's studio - Bazille's Studio; 9 rue de la Condamine,1870,http://www.theartwolf.com/articles/impressionism/bazille-artist-studio.jpg
EUGÈNE BOUDIN,Dock at Deauville,1869,http://www.theartwolf.com/articles/impressionism/boudin-deauville.jpg
GUSTAVE CAILLEBOTTE,Les raboteurs (The floor scrapers),1876,http://www.theartwolf.com/articles/impressionism/caillebotte-raboteurs.jpg
GUSTAVE CAILLEBOTTE,"Paris Street, rainy day",1877,http://www.theartwolf.com/articles/impressionism/caillebotte-paris-rainy.jpg
MARY CASSATT,Summertime,1894,http://www.theartwolf.com/articles/impressionism/cassatt-summertime.jpg
PAUL CÉZANNE,The Hanged Man's House in Auvers-sur-Oise,1873,http://www.theartwolf.com/articles/impressionism/cezanne-hanged-man-house.jpg
PAUL CÉZANNE,Still life with fruit basket (the kitchen table),1880-1890,http://www.theartwolf.com/articles/impressionism/cezanne-still-life-basket.jpg
PAUL CÉZANNE,The Card Players,1893-1896,http://www.theartwolf.com/articles/impressionism/cezanne-card-players.jpg
PAUL CÉZANNE,Mount Sainte-Victoire view from Lauves,1904-1906,http://www.theartwolf.com/articles/impressionism/cezanne_victoire.jpg
PAUL CÉZANNE,Large Bathers,1906,http://www.theartwolf.com/articles/impressionism/cezanne-bathers.jpg
CHARLES CONDER,A holiday in Mentone,1888,http://www.theartwolf.com/articles/impressionism/cezanne-bathers.jpg
EDGAR DEGAS,The dance class,1874,http://www.theartwolf.com/articles/impressionism/degas-dance-class.jpg
EDGAR DEGAS,L'absinthe (absinthe drinkers),1876,http://www.theartwolf.com/articles/impressionism/degas-absinthe.jpg
PAUL GAUGUIN,Le Christ jaune (The Yellow Christ),1889,http://www.theartwolf.com/articles/impressionism/gauguin-yellow-christ.jpg
PAUL GAUGUIN,Mata Mua (in olden times),1892,http://www.theartwolf.com/articles/impressionism/gauguin-matamua.jpg
PAUL GAUGUIN,Where do we come from? What are we? Where are we going?,1897,http://www.theartwolf.com/articles/impressionism/gauguin_where.jpg
ARMAND GUILLAUMIN,Soleil couchant à Ivry (sunset at Ivry),1873,http://www.theartwolf.com/articles/impressionism/guillaumin-ivry.jpg
CHILDE HASSAM,The Avenue in the rain,1917,http://www.theartwolf.com/articles/impressionism/childe-hassam-flags.jpg
KONSTANTIN KOROVIN,Spring,1917,http://www.theartwolf.com/articles/impressionism/korovin-spring.jpg
WINSLOW HOMER,Summer night,1890,http://www.theartwolf.com/articles/impressionism/winslow-homer-summer.jpg
EDOUARD MANET,Le Déjeuner sur l'Herbe (Luncheon on the grass),1862-1863,http://www.theartwolf.com/articles/impressionism/manet-luncheon-grass.jpg
EDOUARD MANET,Olympia,1863,http://www.theartwolf.com/articles/impressionism/manet-olympia.jpg
EDOUARD MANET,Bar at the Folies Bergere,1882,http://www.theartwolf.com/articles/impressionism/manet-bar-folies-bergere.jpg
CLAUDE MONET,The Terrace at Sainte Adresse,1867,http://www.theartwolf.com/articles/impressionism/monet_adresse.jpg
CLAUDE MONET,"Impression, sunrise",1873,http://www.theartwolf.com/articles/impressionism/monet-soleil.jpg
CLAUDE MONET,Le gare Saint Lazare (Saint Lazare Station),1877,http://www.theartwolf.com/articles/impressionism/monet-gare-lazare.jpg
CLAUDE MONET,"Meules (Haystacks, white frost)",1889,http://www.theartwolf.com/articles/impressionism/monet-haystacks-frost.jpg
CLAUDE MONET,"Poplars au bord de l'Epte, view from the marshes",1891,http://www.theartwolf.com/articles/impressionism/monet_poplars_epte.jpg
CLAUDE MONET,"he Portal of Rouen Cathedral (soleil), harmony in blue and gold",1893,http://www.theartwolf.com/articles/impressionism/monet-rouen.jpg
CLAUDE MONET,Nympheas (water lilies),1920-1926,http://www.theartwolf.com/articles/impressionism/monet-nympheas.jpg
BERTHE MORISOT,Summer day,1879,http://www.theartwolf.com/articles/impressionism/morisot-summer-day.jpg
CAMILLE PISSARRO,Landscape at Pontoise,1874,http://www.theartwolf.com/articles/impressionism/pissarro-pontoise.jpg
CAMILLE PISSARRO,"Le Boulevard Montmartre, effet de nuit (The Boulevard Montmartre at Night)",1897,http://www.theartwolf.com/articles/impressionism/pissarro-montmartre-night.jpg
PIERRE-AUGUSTE RENOIR,Moulin de la Galette,1876,http://www.theartwolf.com/articles/impressionism/renoir_gallette.jpg
PIERRE-AUGUSTE RENOIR,Le déjeuner des canotiers (Luncheon of the boating party),1880-1881,http://www.theartwolf.com/articles/impressionism/renoir-luncheon-boating-party.jpg
PIERRE-AUGUSTE RENOIR,The Umbrellas,1881-1886,http://www.theartwolf.com/articles/impressionism/renoir-umbrellas.jpg
THEODORE ROBINSON,La débâcle,1892,http://www.theartwolf.com/articles/impressionism/robinson-debacle.jpg
GEORGES SEURAT,Une baignade à Asnières (Bathers at Asnieres),1883-1884,http://www.theartwolf.com/articles/impressionism/seurat-asnieres.jpg
GEORGES SEURAT,Sunday afternoon on the island of La Grande-Jatte,1884-1886,http://www.theartwolf.com/articles/impressionism/seurat-jatte.jpg
